date,name,value
2002-05-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",30
2002-05-01,External causes of morbidity and mortality,298
2002-06-01,Certain infectious and parasitic diseases,75
2002-06-01,Neoplasms,779
2002-06-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,11
2002-06-01,"Endocrine, nutritional and metabolic diseases",154
2002-06-01,Mental and behavioural disorders,36
2002-06-01,Diseases of the nervous system,65
2002-06-01,Diseases of the circulatory system,1039
2002-06-01,Diseases of the respiratory system,226
2002-06-01,Diseases of the digestive system,98
2002-06-01,Diseases of the skin and subcutaneous tissue,6
2002-06-01,Diseases of the musculoskeletal system and connective tissue,7
2002-06-01,Diseases of the genitourinary system,67
2002-06-01,Certain conditions originating in the perinatal period,33
2002-06-01,"Congenital malformations, deformations and chromosomal abnormalities",22
2002-06-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",30
2002-06-01,External causes of morbidity and mortality,260
2002-07-01,Certain infectious and parasitic diseases,99
2002-07-01,Neoplasms,868
2002-07-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,7
2002-07-01,"Endocrine, nutritional and metabolic diseases",135
2002-07-01,Mental and behavioural disorders,42
2002-07-01,Diseases of the nervous system,76
2002-07-01,Diseases of the circulatory system,1157
2002-07-01,Diseases of the respiratory system,229
2002-07-01,Diseases of the digestive system,99
2002-07-01,Diseases of the skin and subcutaneous tissue,3
2002-07-01,Diseases of the musculoskeletal system and connective tissue,22
2002-07-01,Diseases of the genitourinary system,51
2002-07-01,Certain conditions originating in the perinatal period,45
2002-07-01,"Congenital malformations, deformations and chromosomal abnormalities",25
2002-07-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",21
2002-07-01,External causes of morbidity and mortality,281
2002-08-01,Certain infectious and parasitic diseases,96
2002-08-01,Neoplasms,854
2002-08-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,10
2002-08-01,"Endocrine, nutritional and metabolic diseases",128
2002-08-01,Mental and behavioural disorders,37
2002-08-01,Diseases of the nervous system,84
2002-08-01,Diseases of the circulatory system,1097
2002-08-01,Diseases of the respiratory system,221
2002-08-01,Diseases of the digestive system,77
2002-08-01,Diseases of the skin and subcutaneous tissue,4
2002-08-01,Diseases of the musculoskeletal system and connective tissue,23
2002-08-01,Diseases of the genitourinary system,67
2002-08-01,Certain conditions originating in the perinatal period,41
2002-08-01,"Congenital malformations, deformations and chromosomal abnormalities",18
2002-08-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",28
2002-08-01,External causes of morbidity and mortality,249
2002-09-01,Certain infectious and parasitic diseases,75
2002-09-01,Neoplasms,862
2002-09-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,19
2002-09-01,"Endocrine, nutritional and metabolic diseases",138
2002-09-01,Mental and behavioural disorders,34
2002-09-01,Diseases of the nervous system,78
2002-09-01,Diseases of the circulatory system,1059
2002-09-01,Diseases of the respiratory system,197
2002-09-01,Diseases of the digestive system,92
2002-09-01,Diseases of the skin and subcutaneous tissue,3
2002-09-01,Diseases of the musculoskeletal system and connective tissue,19
2002-09-01,Diseases of the genitourinary system,59
2002-09-01,"Pregnancy, childbirth and the puerperium",1
2002-09-01,Certain conditions originating in the perinatal period,34
2002-09-01,"Congenital malformations, deformations and chromosomal abnormalities",17
2002-09-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",29
2002-09-01,External causes of morbidity and mortality,230
2002-10-01,Certain infectious and parasitic diseases,87
2002-10-01,Neoplasms,891
2002-10-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,13
2002-10-01,"Endocrine, nutritional and metabolic diseases",127
2002-10-01,Mental and behavioural disorders,45
2002-10-01,Diseases of the nervous system,86
2002-10-01,Diseases of the eye and adnexa,1
2002-10-01,Diseases of the ear and mastoid process,1
2002-10-01,Diseases of the circulatory system,1157
2002-10-01,Diseases of the respiratory system,218
2002-10-01,Diseases of the digestive system,97
2002-10-01,Diseases of the skin and subcutaneous tissue,10
2002-10-01,Diseases of the musculoskeletal system and connective tissue,19
2002-10-01,Diseases of the genitourinary system,55
2002-10-01,"Pregnancy, childbirth and the puerperium",2
2002-10-01,Certain conditions originating in the perinatal period,31
2002-10-01,"Congenital malformations, deformations and chromosomal abnormalities",23
2002-10-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",29
2002-10-01,External causes of morbidity and mortality,249
2002-11-01,Certain infectious and parasitic diseases,85
2002-11-01,Neoplasms,861
2002-11-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,14
2002-11-01,"Endocrine, nutritional and metabolic diseases",132
2002-11-01,Mental and behavioural disorders,33
2002-11-01,Diseases of the nervous system,68
2002-11-01,Diseases of the circulatory system,1206
2002-11-01,Diseases of the respiratory system,230
2002-11-01,Diseases of the digestive system,105
2002-11-01,Diseases of the skin and subcutaneous tissue,1
2002-11-01,Diseases of the musculoskeletal system and connective tissue,22
2002-11-01,Diseases of the genitourinary system,76
2002-11-01,"Pregnancy, childbirth and the puerperium",5
2002-11-01,Certain conditions originating in the perinatal period,31
2002-11-01,"Congenital malformations, deformations and chromosomal abnormalities",25
2002-11-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",25
2002-11-01,External causes of morbidity and mortality,243
2002-12-01,Certain infectious and parasitic diseases,88
2002-12-01,Neoplasms,828
2002-12-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,12
2002-12-01,"Endocrine, nutritional and metabolic diseases",133
2002-12-01,Mental and behavioural disorders,49
2002-12-01,Diseases of the nervous system,94
2002-12-01,Diseases of the circulatory system,1334
2002-12-01,Diseases of the respiratory system,272
2002-12-01,Diseases of the digestive system,102
2002-12-01,Diseases of the skin and subcutaneous tissue,5
2002-12-01,Diseases of the musculoskeletal system and connective tissue,19
2002-12-01,Diseases of the genitourinary system,91
2002-12-01,"Pregnancy, childbirth and the puerperium",2
2002-12-01,Certain conditions originating in the perinatal period,37
2002-12-01,"Congenital malformations, deformations and chromosomal abnormalities",28
2002-12-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",39
2002-12-01,External causes of morbidity and mortality,276
2003-01-01,Certain infectious and parasitic diseases,91
2003-01-01,Neoplasms,885
2003-01-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,13
2003-01-01,"Endocrine, nutritional and metabolic diseases",157
2003-01-01,Mental and behavioural disorders,43
2003-01-01,Diseases of the nervous system,99
2003-01-01,Diseases of the circulatory system,1426
2003-01-01,Diseases of the respiratory system,303
2003-01-01,Diseases of the digestive system,113
2003-01-01,Diseases of the skin and subcutaneous tissue,7
2003-01-01,Diseases of the musculoskeletal system and connective tissue,20
2003-01-01,Diseases of the genitourinary system,85
2003-01-01,"Pregnancy, childbirth and the puerperium",3
2003-01-01,Certain conditions originating in the perinatal period,43
2003-01-01,"Congenital malformations, deformations and chromosomal abnormalities",27
2003-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",31
2003-01-01,External causes of morbidity and mortality,285
2003-02-01,Certain infectious and parasitic diseases,71
2003-02-01,Neoplasms,800
2003-02-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,13
2003-02-01,"Endocrine, nutritional and metabolic diseases",173
2003-02-01,Mental and behavioural disorders,42
2003-02-01,Diseases of the nervous system,95
2003-02-01,Diseases of the circulatory system,1272
2003-02-01,Diseases of the respiratory system,303
2003-02-01,Diseases of the digestive system,85
2003-02-01,Diseases of the skin and subcutaneous tissue,4
2003-02-01,Diseases of the musculoskeletal system and connective tissue,23
2003-02-01,Diseases of the genitourinary system,66
2003-02-01,"Pregnancy, childbirth and the puerperium",2
2003-02-01,Certain conditions originating in the perinatal period,31
2003-02-01,"Congenital malformations, deformations and chromosomal abnormalities",27
2003-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",30
2003-02-01,External causes of morbidity and mortality,234
2003-03-01,Certain infectious and parasitic diseases,86
2003-03-01,Neoplasms,930
2003-03-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,18
2003-03-01,"Endocrine, nutritional and metabolic diseases",140
2003-03-01,Mental and behavioural disorders,54
2003-03-01,Diseases of the nervous system,68
2003-03-01,Diseases of the circulatory system,1306
2003-03-01,Diseases of the respiratory system,340
2003-03-01,Diseases of the digestive system,114
2003-03-01,Diseases of the skin and subcutaneous tissue,5
2003-03-01,Diseases of the musculoskeletal system and connective tissue,20
2003-03-01,Diseases of the genitourinary system,70
2003-03-01,"Pregnancy, childbirth and the puerperium",1
2003-03-01,Certain conditions originating in the perinatal period,31
2003-03-01,"Congenital malformations, deformations and chromosomal abnormalities",24
2003-03-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",27
2003-03-01,External causes of morbidity and mortality,256
2003-04-01,Certain infectious and parasitic diseases,91
2003-04-01,Neoplasms,887
2003-04-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,15
2003-04-01,"Endocrine, nutritional and metabolic diseases",140
2003-04-01,Mental and behavioural disorders,36
2003-04-01,Diseases of the nervous system,90
2003-04-01,Diseases of the circulatory system,1243
2003-04-01,Diseases of the respiratory system,261
2003-04-01,Diseases of the digestive system,101
2003-04-01,Diseases of the skin and subcutaneous tissue,3
2003-04-01,Diseases of the musculoskeletal system and connective tissue,23
2003-04-01,Diseases of the genitourinary system,58
2003-04-01,"Pregnancy, childbirth and the puerperium",2
2003-04-01,Certain conditions originating in the perinatal period,33
2003-04-01,"Congenital malformations, deformations and chromosomal abnormalities",31
2003-04-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",31
2003-04-01,External causes of morbidity and mortality,246
2003-05-01,Certain infectious and parasitic diseases,93
2003-05-01,Neoplasms,936
2003-05-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,15
2003-05-01,"Endocrine, nutritional and metabolic diseases",169
2003-05-01,Mental and behavioural disorders,41
2003-05-01,Diseases of the nervous system,92
2003-05-01,Diseases of the circulatory system,1216
2003-05-01,Diseases of the respiratory system,235
2003-05-01,Diseases of the digestive system,102
2003-05-01,Diseases of the skin and subcutaneous tissue,2
2003-05-01,Diseases of the musculoskeletal system and connective tissue,19
2003-05-01,Diseases of the genitourinary system,74
2003-05-01,"Pregnancy, childbirth and the puerperium",3
2003-05-01,Certain conditions originating in the perinatal period,30
2003-05-01,"Congenital malformations, deformations and chromosomal abnormalities",26
2003-05-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",28
2003-05-01,External causes of morbidity and mortality,260
2003-06-01,Certain infectious and parasitic diseases,101
2003-06-01,Neoplasms,890
2003-06-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,12
2003-06-01,"Endocrine, nutritional and metabolic diseases",143
2003-06-01,Mental and behavioural disorders,40
2003-06-01,Diseases of the nervous system,78
2003-06-01,Diseases of the circulatory system,1202
2003-06-01,Diseases of the respiratory system,242
2003-06-01,Diseases of the digestive system,92
2003-06-01,Diseases of the skin and subcutaneous tissue,3
2003-06-01,Diseases of the musculoskeletal system and connective tissue,12
2003-06-01,Diseases of the genitourinary system,57
2003-06-01,"Pregnancy, childbirth and the puerperium",3
2003-06-01,Certain conditions originating in the perinatal period,39
2003-06-01,"Congenital malformations, deformations and chromosomal abnormalities",28
2003-06-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",35
2003-06-01,External causes of morbidity and mortality,243
2003-07-01,Certain infectious and parasitic diseases,103
2003-07-01,Neoplasms,847
2003-07-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,10
2003-07-01,"Endocrine, nutritional and metabolic diseases",148
2003-07-01,Mental and behavioural disorders,40
2003-07-01,Diseases of the nervous system,93
2003-07-01,Diseases of the circulatory system,1124
2003-07-01,Diseases of the respiratory system,233
2003-07-01,Diseases of the digestive system,97
2003-07-01,Diseases of the skin and subcutaneous tissue,1
2003-07-01,Diseases of the musculoskeletal system and connective tissue,17
2003-07-01,Diseases of the genitourinary system,66
2003-07-01,"Pregnancy, childbirth and the puerperium",4
2003-07-01,Certain conditions originating in the perinatal period,42
2003-07-01,"Congenital malformations, deformations and chromosomal abnormalities",30
2003-07-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",32
2003-07-01,External causes of morbidity and mortality,324
2003-08-01,Certain infectious and parasitic diseases,76
2003-08-01,Neoplasms,916
2003-08-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,10
2003-08-01,"Endocrine, nutritional and metabolic diseases",144
2003-08-01,Mental and behavioural disorders,44
2003-08-01,Diseases of the nervous system,94
2003-08-01,Diseases of the circulatory system,1108
2003-08-01,Diseases of the respiratory system,215
2003-08-01,Diseases of the digestive system,86
2003-08-01,Diseases of the skin and subcutaneous tissue,3
2003-08-01,Diseases of the musculoskeletal system and connective tissue,19
2003-08-01,Diseases of the genitourinary system,66
2003-08-01,"Pregnancy, childbirth and the puerperium",2
2003-08-01,Certain conditions originating in the perinatal period,37
2003-08-01,"Congenital malformations, deformations and chromosomal abnormalities",25
2003-08-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",17
2003-08-01,External causes of morbidity and mortality,273
2003-09-01,Certain infectious and parasitic diseases,83
2003-09-01,Neoplasms,895
2003-09-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,9
2003-09-01,"Endocrine, nutritional and metabolic diseases",141
2003-09-01,Mental and behavioural disorders,48
2003-09-01,Diseases of the nervous system,91
2003-09-01,Diseases of the circulatory system,1158
2003-09-01,Diseases of the respiratory system,224
2003-09-01,Diseases of the digestive system,104
2003-09-01,Diseases of the musculoskeletal system and connective tissue,19
2003-09-01,Diseases of the genitourinary system,65
2003-09-01,"Pregnancy, childbirth and the puerperium",2
2003-09-01,Certain conditions originating in the perinatal period,33
2003-09-01,"Congenital malformations, deformations and chromosomal abnormalities",33
2003-09-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",24
2003-09-01,External causes of morbidity and mortality,272
2003-10-01,Certain infectious and parasitic diseases,104
2003-10-01,Neoplasms,929
2003-10-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,17
2003-10-01,"Endocrine, nutritional and metabolic diseases",123
2003-10-01,Mental and behavioural disorders,54
2003-10-01,Diseases of the nervous system,103
2003-10-01,Diseases of the circulatory system,1190
2003-10-01,Diseases of the respiratory system,233
2003-10-01,Diseases of the digestive system,100
2003-10-01,Diseases of the skin and subcutaneous tissue,4
2003-10-01,Diseases of the musculoskeletal system and connective tissue,34
2003-10-01,Diseases of the genitourinary system,65
2003-10-01,"Pregnancy, childbirth and the puerperium",1
2003-10-01,Certain conditions originating in the perinatal period,32
2003-10-01,"Congenital malformations, deformations and chromosomal abnormalities",20
2003-10-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",26
2003-10-01,External causes of morbidity and mortality,276
2003-11-01,Certain infectious and parasitic diseases,94
2003-11-01,Neoplasms,903
2003-11-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,12
2003-11-01,"Endocrine, nutritional and metabolic diseases",138
2003-11-01,Mental and behavioural disorders,50
2003-11-01,Diseases of the nervous system,108
2003-11-01,Diseases of the circulatory system,1166
2003-11-01,Diseases of the respiratory system,237
2003-11-01,Diseases of the digestive system,88
2003-11-01,Diseases of the skin and subcutaneous tissue,7
2003-11-01,Diseases of the musculoskeletal system and connective tissue,27
2003-11-01,Diseases of the genitourinary system,77
2003-11-01,"Pregnancy, childbirth and the puerperium",2
2003-11-01,Certain conditions originating in the perinatal period,29
2003-11-01,"Congenital malformations, deformations and chromosomal abnormalities",15
2003-11-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",36
2003-11-01,External causes of morbidity and mortality,259
2003-12-01,Certain infectious and parasitic diseases,97
2003-12-01,Neoplasms,934
2003-12-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,20
2003-12-01,"Endocrine, nutritional and metabolic diseases",191
2003-12-01,Mental and behavioural disorders,70
2003-12-01,Diseases of the nervous system,92
2003-12-01,Diseases of the circulatory system,1398
2003-12-01,Diseases of the respiratory system,360
2003-12-01,Diseases of the digestive system,113
2003-12-01,Diseases of the skin and subcutaneous tissue,8
2003-12-01,Diseases of the musculoskeletal system and connective tissue,22
2003-12-01,Diseases of the genitourinary system,81
2003-12-01,"Pregnancy, childbirth and the puerperium",2
2003-12-01,Certain conditions originating in the perinatal period,36
2003-12-01,"Congenital malformations, deformations and chromosomal abnormalities",36
2003-12-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",41
2003-12-01,External causes of morbidity and mortality,276
2004-01-01,Certain infectious and parasitic diseases,106
2004-01-01,Neoplasms,951
2004-01-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,11
2004-01-01,"Endocrine, nutritional and metabolic diseases",159
2004-01-01,Mental and behavioural disorders,56
2004-01-01,Diseases of the nervous system,119
2004-01-01,Diseases of the ear and mastoid process,1
2004-01-01,Diseases of the circulatory system,1480
2004-01-01,Diseases of the respiratory system,406
2004-01-01,Diseases of the digestive system,122
2004-01-01,Diseases of the skin and subcutaneous tissue,5
2004-01-01,Diseases of the musculoskeletal system and connective tissue,30
2004-01-01,Diseases of the genitourinary system,105
2004-01-01,"Pregnancy, childbirth and the puerperium",1
2004-01-01,Certain conditions originating in the perinatal period,37
2004-01-01,"Congenital malformations, deformations and chromosomal abnormalities",27
2004-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",36
2004-01-01,External causes of morbidity and mortality,245
2004-02-01,Certain infectious and parasitic diseases,101
2004-02-01,Neoplasms,871
2004-02-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,10
2004-02-01,"Endocrine, nutritional and metabolic diseases",154
2004-02-01,Mental and behavioural disorders,41
2004-02-01,Diseases of the nervous system,111
2004-02-01,Diseases of the ear and mastoid process,1
2004-02-01,Diseases of the circulatory system,1259
2004-02-01,Diseases of the respiratory system,312
2004-02-01,Diseases of the digestive system,91
2004-02-01,Diseases of the skin and subcutaneous tissue,3
2004-02-01,Diseases of the musculoskeletal system and connective tissue,21
2004-02-01,Diseases of the genitourinary system,82
2004-02-01,Certain conditions originating in the perinatal period,27
2004-02-01,"Congenital malformations, deformations and chromosomal abnormalities",27
2004-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",30
2004-02-01,External causes of morbidity and mortality,213
2004-03-01,Certain infectious and parasitic diseases,106
2004-03-01,Neoplasms,984
2004-03-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,9
2004-03-01,"Endocrine, nutritional and metabolic diseases",170
2004-03-01,Mental and behavioural disorders,45
2004-03-01,Diseases of the nervous system,105
2004-03-01,Diseases of the circulatory system,1311
2004-03-01,Diseases of the respiratory system,293
2004-03-01,Diseases of the digestive system,104
2004-03-01,Diseases of the skin and subcutaneous tissue,5
2004-03-01,Diseases of the musculoskeletal system and connective tissue,13
2004-03-01,Diseases of the genitourinary system,82
2004-03-01,"Pregnancy, childbirth and the puerperium",4
2004-03-01,Certain conditions originating in the perinatal period,38
2004-03-01,"Congenital malformations, deformations and chromosomal abnormalities",28
2004-03-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",25
2004-03-01,External causes of morbidity and mortality,275
2004-04-01,Certain infectious and parasitic diseases,89
2004-04-01,Neoplasms,847
2004-04-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,16
2004-04-01,"Endocrine, nutritional and metabolic diseases",131
2004-04-01,Mental and behavioural disorders,51
2004-04-01,Diseases of the nervous system,83
2004-04-01,Diseases of the circulatory system,1221
2004-04-01,Diseases of the respiratory system,263
2004-04-01,Diseases of the digestive system,88
2004-04-01,Diseases of the skin and subcutaneous tissue,6
2004-04-01,Diseases of the musculoskeletal system and connective tissue,26
2004-04-01,Diseases of the genitourinary system,84
2004-04-01,"Pregnancy, childbirth and the puerperium",2
2004-04-01,Certain conditions originating in the perinatal period,37
2004-04-01,"Congenital malformations, deformations and chromosomal abnormalities",27
2004-04-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",31
2004-04-01,External causes of morbidity and mortality,234
2004-05-01,Certain infectious and parasitic diseases,89
2004-05-01,Neoplasms,956
2004-05-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,13
2004-05-01,"Endocrine, nutritional and metabolic diseases",134
2004-05-01,Mental and behavioural disorders,47
2004-05-01,Diseases of the nervous system,93
2004-05-01,Diseases of the circulatory system,1195
2004-05-01,Diseases of the respiratory system,252
2004-05-01,Diseases of the digestive system,123
2004-05-01,Diseases of the skin and subcutaneous tissue,2
2004-05-01,Diseases of the musculoskeletal system and connective tissue,27
2004-05-01,Diseases of the genitourinary system,77
2004-05-01,"Pregnancy, childbirth and the puerperium",4
2004-05-01,Certain conditions originating in the perinatal period,33
2004-05-01,"Congenital malformations, deformations and chromosomal abnormalities",33
2004-05-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",37
2004-05-01,External causes of morbidity and mortality,283
2004-06-01,Certain infectious and parasitic diseases,93
2004-06-01,Neoplasms,936
2004-06-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,13
2004-06-01,"Endocrine, nutritional and metabolic diseases",156
2004-06-01,Mental and behavioural disorders,43
2004-06-01,Diseases of the nervous system,90
2004-06-01,Diseases of the circulatory system,1121
2004-06-01,Diseases of the respiratory system,218
2004-06-01,Diseases of the digestive system,125
2004-06-01,Diseases of the skin and subcutaneous tissue,4
2004-06-01,Diseases of the musculoskeletal system and connective tissue,21
2004-06-01,Diseases of the genitourinary system,81
2004-06-01,"Pregnancy, childbirth and the puerperium",2
2004-06-01,Certain conditions originating in the perinatal period,36
2004-06-01,"Congenital malformations, deformations and chromosomal abnormalities",25
2004-06-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",38
2004-06-01,External causes of morbidity and mortality,267
2004-07-01,Certain infectious and parasitic diseases,89
2004-07-01,Neoplasms,922
2004-07-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,17
2004-07-01,"Endocrine, nutritional and metabolic diseases",137
2004-07-01,Mental and behavioural disorders,57
2004-07-01,Diseases of the nervous system,92
2004-07-01,Diseases of the circulatory system,1154
2004-07-01,Diseases of the respiratory system,222
2004-07-01,Diseases of the digestive system,108
2004-07-01,Diseases of the skin and subcutaneous tissue,7
